Timestamp,Feed Flow to DB,Reboiler o/l Temp,Column top Temp,Reboiling steam flow,Reflux flow,Column Top pressure,Column bottom temp,Control tay temp,Total_C4_Slippage_Wt,Reflux_Ratio,Temp_Diff_Bottom_Top,Steam_to_Feed_Ratio
2023-04-16 08:00:00,78.32652189466687,33.34269962098863,106.7558989546034,20.354234969880864,91.12636960347494,4.012759508358111,106.50727026197644,74.42450129826857,0.1140064932405947,1.163416520969204,-0.24862869262695142,0.259863893828878
2023-04-16 09:00:00,75.97903645833334,33.374221647050646,106.92067228953044,19.865485529369785,91.54444324705337,3.9897960351573096,106.5561661614312,76.83364366107517,0.1140064932405947,1.2048644930638357,-0.36450612809925076,0.2614600876124889
2023-04-16 10:00:00,76.15696442921958,34.1461406771342,106.74259258270264,20.02474261866675,91.08478161493936,4.008712921539943,106.31903065575494,75.06166447533502,0.1140064932405947,1.1960138156293991,-0.42356192694769845,0.26294039906245004
2023-04-16 11:00:00,75.47471622890895,34.88522565205893,106.77097721523708,19.762049522399906,91.40847703086006,4.000243410799238,106.34199947781032,75.77964881261192,0.1140064932405947,1.2111138881584416,-0.42897773742676293,0.2618366853106318
2023-04-16 12:00:00,80.6124542872111,35.52033846643238,106.7356039428711,20.35875213940939,91.23479775322804,4.031754717561935,106.39109725952147,75.11339705149341,0.1140064932405947,1.1317705007099674,-0.3445066833496213,0.2525509528170598
2023-04-16 13:00:00,76.27937408023413,36.556253174675845,106.83402555253772,19.77241803487142,91.36970139609444,4.01014818880293,106.45779872470432,75.83525175942312,0.1140064932405947,1.1978297212925446,-0.3762268278334062,0.2592105437810053
2023-04-16 14:00:00,77.4971009784275,38.50032547420925,106.91682824028862,19.88869859907363,91.26169873131644,4.013833322127661,106.53947143554689,75.42647942437065,0.1140064932405947,1.1776143568975943,-0.37735680474173705,0.2566379690041995
2023-04-16 15:00:00,78.78538491990831,40.39702686097887,107.20000475565593,20.09179381264581,91.32237222459582,4.010309047831431,106.88510689205592,75.4132829878066,0.1140064932405947,1.1591283372705894,-0.3148978636000095,0.255019301267814
2023-04-16 16:00:00,79.53158819410535,41.31980179362828,107.30843413035076,20.354599515067207,91.22803845723472,4.010847631427977,107.14336318969728,74.99894218444823,0.1140064932405947,1.1470667256566769,-0.16507094065347871,0.25593100775422334
2023-04-16 17:00:00,78.45731822119816,41.48669772677951,107.1651032892863,19.973086605072016,91.38960853576656,3.983768301539951,106.77437936994764,76.03719757927792,0.1140064932405947,1.164832173806183,-0.39072391933865447,0.25457263971866134
2023-04-16 18:00:00,78.29117162492535,41.43088901625738,107.0090515645345,20.22042898072137,91.24837200588648,3.994894622431861,106.59723271263972,75.27186796400272,0.1140064932405947,1.1655001465793682,-0.41181885189477896,0.2582721469201461
2023-04-16 19:00:00,78.20728261735704,41.20089232974582,107.16415682898628,20.222039866977266,91.31584514617924,3.985607623391681,106.7262834760878,75.43181788126627,0.1140064932405947,1.167613067337866,-0.4378733528984782,0.2585697800760909
2023-04-16 20:00:00,77.13105510287818,40.612512622409405,107.20293870925904,20.055447670618705,91.3478865390354,3.987059769233068,106.77413114335803,75.8915979173448,0.1140064932405947,1.1843204584198976,-0.42880756590101043,0.26001780532638286
2023-04-16 21:00:00,77.79421405792233,39.82944389131334,106.9090900209215,20.14730665312872,91.23948958079018,3.990982784165277,106.48230226516723,75.1442372639974,0.1140064932405947,1.172831304802234,-0.42678775575426187,0.258982070798593
2023-04-16 22:00:00,77.82770231670801,38.87171439912584,106.70078681310017,19.98746051152547,91.324397315979,3.984329054090712,106.2993200747172,75.82086107465953,0.1140064932405947,1.1734176211855107,-0.40146673838296465,0.256816787805616
